leauge_id,league_name,nation_id,team_count
1,Unknown,999,444
2,1. Deild,72,3
3,1. Divisioun South,121,1
4,1. Klasse A,13,3
5,1. Klasse B,13,2
6,1. Klasse C,13,1
7,1. Klasse Mitte A,13,1
8,1. Klasse Nord,13,1
9,1. Klasse Nord B,13,1
10,1. Klasse Nordwest Mitte,13,2
11,1. Klasse Ost,13,1
12,1. Klasse Ost A,13,1
13,1. Klasse Ost B,13,1
14,1. Klasse Süd,13,3
15,1. Klasse West,13,2
16,1. Landesklasse,13,2
17,1e Provenciale Antwerpen,18,76
18,1e Provenciale Brabant,18,18
19,1e Provenciale Henegouwen,18,13
20,1e Provenciale Limburg,18,37
21,1e Provenciale Oost-Vlaanderen,18,49
22,1e Provenciale West-Vlaanderen,18,48
23,1e Provinciale Brabant,18,43
24,1e Provinciale Liège,18,20
25,1e Provinciale Luxembourg,18,10
26,1e Provinciale Namur,18,10
27,2. Bundesliga,77,18
28,2. deild karla,99,12
29,2. Division,56,12
30,2. Klasse Donau,13,1
31,2. Klasse Mitte,13,1
32,2. Klasse Ost,13,1
33,2. Klasse Traisental/Alpenvorland,13,2
34,2. Klasse Triestingtal,13,1
35,2. Klasse West,13,1
36,2. Landesklasse,13,1
37,2. Landesliga Nord,13,1
38,2. Landesliga Süd,13,2
39,2. Landesliga Wien,13,6
40,2. Slovenska Nogometna Liga,196,16
41,2e Amateurklasse A,18,16
42,2e Amateurklasse B,18,16
43,2e Amateurklasse C,18,16
44,3. deild karla,99,12
45,3. Division,56,12
46,3. Landesklasse,13,1
47,3. Liga,77,20
48,3. Slovenska Nogometna Liga Vzhod,196,14
49,3. Slovenska Nogometna Liga Zahod,196,14
50,3e Amateurklasse VFV A,18,16
51,3e Amateurklasse VFV B,18,15
52,3F Superliga,56,12
53,4. deild,99,32
54,4. divisjon Avdeling 1,154,10
55,4. divisjon Avdeling 10,154,9
56,4. divisjon Avdeling 11,154,8
57,4. divisjon Avdeling 12,154,8
58,4. divisjon Avdeling 13,154,2
59,4. divisjon Avdeling 14,154,4
60,4. divisjon Avdeling 15,154,8
61,4. divisjon Avdeling 16,154,8
62,4. divisjon Avdeling 17,154,9
63,4. divisjon Avdeling 18,154,4
64,4. divisjon Avdeling 19,154,7
65,4. divisjon Avdeling 2,154,7
66,4. divisjon Avdeling 20,154,3
67,4. divisjon Avdeling 21,154,8
68,4. divisjon Avdeling 22,154,5
69,4. divisjon Avdeling 3,154,14
70,4. divisjon Avdeling 4,154,10
71,4. divisjon Avdeling 5,154,7
72,4. divisjon Avdeling 6,154,7
73,4. divisjon Avdeling 7,154,6
74,4. divisjon Avdeling 8,154,6
75,4. divisjon Avdeling 9,154,8
76,4. Landesklasse,13,1
77,5. Landesklasse Oberland,13,1
78,A' EPS Achaías,82,15
79,A' EPS Aitoloakarnanías,82,7
80,A' EPS Anatolikís Attikís,82,19
